n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,8,0.933192799,4.48E-06,2.19E-06,0.743327262,0.000702417,0.99671594,7.44E-05,644710.1,2914.568457
1,8,0.959940843,6.21E-06,3.72E-06,0.654713628,0.000816824,0.997952116,3.94E-05,1051262.4,3647.670851
1,8,0.977249868,0.000592515,7.92E-05,0.48756617,0.001601355,0.998833885,2.47E-05,1816904,7309.375801
1,8,0.987775527,0.06587716,0.001682278,0.20966509,0.002360516,0.999362609,1.31E-05,3123788.3,12189.79754
1,8,0.993790335,0.379351813,0.002811401,0.04408695,0.001054688,0.999670869,8.69E-06,4048308.9,5888.713891
1,8,0.998650102,0.85023071,0.001866881,0.001447758,6.53E-05,0.999931,3.79E-06,4491347.8,1128.381478
1,9,0.5,1.08E-06,6.41E-07,0.87322404,5.55E-05,0.979521647,0.000309165,104018.8,308.4061608
1,9,0.691462461,1.39E-06,7.36E-07,0.863454694,7.56E-05,0.986994068,0.000334737,162453.7,307.4160211
1,9,0.841344746,1.77E-06,9.48E-07,0.839310155,0.000240008,0.992789846,0.000165802,293146.2,1122.040178
1,9,0.894350226,2.89E-06,1.68E-06,0.814601187,0.000268937,0.994942753,9.15E-05,422730.2,1467.867964
1,9,0.933192799,4.67E-06,3.21E-06,0.771517087,0.000793739,0.996764924,3.84E-05,646212.2,4038.027806
1,9,0.959940843,6.52E-06,7.13E-06,0.692901505,0.000867604,0.997993713,4.12E-05,1052424,4407.059723
1,9,0.977249868,7.14E-05,3.29E-05,0.54424228,0.001115759,0.998835744,2.12E-05,1818491,5481.477611
1,9,0.987775527,0.02919811,0.001134183,0.268971433,0.002194437,0.999361509,1.49E-05,3251673.2,11506.30059
1,9,0.993790335,0.312134684,0.002098015,0.05623224,0.000857499,0.999678064,8.83E-06,4496549.7,5754.166804
1,9,0.998650102,0.831753086,0.001926245,0.001743111,9.20E-05,0.999930112,5.32E-06,5051011.3,1954.986908
1,10,0.5,8.10E-07,5.84E-07,0.885864961,3.65E-05,0.979823545,0.000438489,104228.9,259.2132134
1,10,0.691462461,1.16E-06,4.56E-07,0.877120116,7.02E-05,0.986896042,0.000391346,162457.8,414.9871805
1,10,0.841344746,1.50E-06,6.09E-07,0.855459946,0.000291165,0.992797676,0.000158143,292846.9,1635.697921
1,10,0.894350226,1.89E-06,1.06E-06,0.833202106,0.000182911,0.994963856,5.69E-05,422426.7,971.8771579
1,10,0.933192799,3.82E-06,2.16E-06,0.794165417,0.000540471,0.996696943,5.95E-05,647376.3,3062.705799
1,10,0.959940843,8.14E-06,1.05E-05,0.724090984,0.000773589,0.997950342,3.25E-05,1049435.4,4455.699456
1,10,0.977249868,1.27E-05,9.47E-06,0.589184599,0.001084365,0.998839677,2.27E-05,1822373.1,6206.809558
1,10,0.987775527,0.010459606,0.000575091,0.329349568,0.002182491,0.999358311,1.76E-05,3314745.7,12432.04068
1,10,0.993790335,0.2469951,0.003660964,0.071293557,0.001101476,0.999674401,6.28E-06,4915829.2,6976.010146
1,10,0.998650102,0.81229321,0.001448629,0.001973951,7.96E-05,0.999927349,1.42E-06,5610386.8,1152.753035
1,11,0.5,8.49E-07,4.82E-07,0.89625268,5.28E-05,0.979634966,0.000441486,104207.5,300.9715103
1,11,0.691462461,1.12E-06,5.58E-07,0.888284357,7.75E-05,0.986938718,0.00026354,162452.8,515.6240491
1,11,0.841344746,1.66E-06,5.74E-07,0.868714696,0.00017325,0.992727959,0.000140467,292060.9,1127.026393
1,11,0.894350226,2.93E-06,1.65E-06,0.848334343,0.000176731,0.994944123,0.000126014,422623.5,1115.503675
1,11,0.933192799,2.85E-06,1.74E-06,0.813112254,0.000312321,0.996725768,4.59E-05,645960.5,1973.124844
1,11,0.959940843,4.86E-06,3.54E-06,0.748726413,0.000978592,0.998010191,3.20E-05,1052144.6,6123.223942
1,11,0.977249868,9.10E-06,7.15E-06,0.627365537,0.001846775,0.998833255,1.99E-05,1816513.7,11713.79794
1,11,0.987775527,0.002711767,0.000347062,0.385747338,0.003377366,0.999362045,6.77E-06,3339549.3,21485.59238
1,11,0.993790335,0.18988287,0.002579736,0.089679465,0.001210895,0.999677161,4.91E-06,5301106.4,8582.154056
1,11,0.998650102,0.793404861,0.003420606,0.002228167,5.17E-05,0.999929947,4.45E-06,6169721.4,2230.716396
