n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,10,0.933192799,0.001005478,0.000150016,0.438351343,0.001865827,0.996702095,8.54E-05,645414.7,2432.995111
1,10,0.959940843,0.06674946,0.001656752,0.188618221,0.002400185,0.997979285,4.68E-05,978918.5,3155.453858
1,10,0.977249868,0.345648302,0.00275781,0.044114718,0.00070466,0.998844591,2.39E-05,1192566.7,1164.419001
1,10,0.987775527,0.623843133,0.002812894,0.009777639,0.000348789,0.999366337,2.19E-05,1261718.6,711.5469345
1,10,0.993790335,0.802735648,0.001906221,0.002181813,7.39E-05,0.99967899,1.41E-05,1287185.8,517.6403771
1,10,0.998650102,0.956624576,0.001243762,8.98E-05,1.92E-05,0.999931338,7.44E-06,1303471.7,492.4477739
1,11,0.5,3.59E-06,1.75E-06,0.852892673,0.000281865,0.979697002,0.000454878,104177.6,439.6301173
1,11,0.691462461,6.52E-06,3.01E-06,0.818161497,0.000594561,0.986891864,0.000327191,162228.1,822.4778964
1,11,0.841344746,5.71E-06,2.53E-06,0.732194739,0.000682694,0.992687018,0.000215041,292376.6,1013.433392
1,11,0.894350226,9.57E-06,7.76E-06,0.643237079,0.001888259,0.994970497,0.000118923,422376.8,2668.521231
1,11,0.933192799,0.000134298,5.06E-05,0.488813068,0.001477919,0.996718706,5.60E-05,646388.5,2150.57161
1,11,0.959940843,0.034106867,0.001283285,0.234324593,0.002714821,0.997967083,4.11E-05,1016424.7,3892.428678
1,11,0.977249868,0.287333102,0.003990234,0.054636479,0.000971679,0.998833224,3.70E-05,1297719.6,2050.108934
1,11,0.987775527,0.586390779,0.002687918,0.011438275,0.000301383,0.999369229,1.94E-05,1385938.5,813.5479396
1,11,0.993790335,0.784183951,0.002363558,0.002482428,0.000128317,0.999677948,9.37E-06,1415924.2,634.0151102
1,11,0.998650102,0.952042515,0.000966544,9.78E-05,1.26E-05,0.99992869,4.07E-06,1433169.2,695.8436319
1,12,0.5,3.70E-06,1.81E-06,0.865250772,0.000231123,0.979512367,0.000526766,104129.9,251.4034407
1,12,0.691462461,3.63E-06,1.49E-06,0.833181343,0.000348429,0.986844916,0.000319666,162467.7,484.1460627
1,12,0.841344746,5.32E-06,3.18E-06,0.7543739,0.000484251,0.992724312,0.000153536,292395.2,883.6518319
1,12,0.894350226,7.18E-06,3.53E-06,0.672510352,0.001317392,0.995004063,9.25E-05,423131.1,2008.186667
1,12,0.933192799,2.76E-05,2.44E-05,0.531607854,0.001603212,0.996667853,4.90E-05,646095.5,2220.954311
1,12,0.959940843,0.014377508,0.00068407,0.285650505,0.003136174,0.997964648,2.49E-05,1034275.8,4816.70771
1,12,0.977249868,0.234386381,0.002811651,0.067422534,0.001434897,0.998831979,2.02E-05,1396193.1,2559.587875
1,12,0.987775527,0.547457022,0.002164887,0.013466522,0.000222057,0.999353737,2.31E-05,1508687.1,714.5264796
1,12,0.993790335,0.763398341,0.001517654,0.002840287,5.78E-05,0.999673442,1.29E-05,1543971.7,746.7243199
1,12,0.998650102,0.94734159,0.000997451,0.000111674,1.86E-05,0.999927805,8.90E-06,1563835.7,597.2458539
1,13,0.5,3.90E-06,1.50E-06,0.875651407,0.00020072,0.979513639,0.000566321,103996.9,311.5190042
1,13,0.691462461,3.78E-06,1.35E-06,0.846318685,0.000368064,0.986717084,0.000246954,162132.6,606.5219205
