n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate
1,7,0.997,0.9329,0.002078963,0.000311028,2.35E-05,0.99983452,1.03E-05
1,7,0.99994,0.998562076,0.000134556,0,0,0.99999694,2.12E-06
2,7,0.5,7.02E-06,2.39E-06,0.537835984,0.000452323,0.979538308,0.000231972
2,7,0.68,0.000221123,3.32E-05,0.438785367,0.000790584,0.986427606,0.000217649
2,7,0.8,0.013860552,0.000401343,0.282679575,0.001132277,0.991055406,0.000148373
2,7,0.9,0.207356636,0.001601818,0.075491369,0.000878326,0.995188036,9.85E-05
2,7,0.95,0.519121894,0.002063511,0.012904663,0.000281003,0.997527774,2.85E-05
2,7,0.99,0.890030556,0.00094965,0.000144235,2.25E-05,0.99948005,3.23E-05
2,7,0.997,0.966217458,0.000585815,6.23E-06,2.69E-06,0.999837628,1.43E-05
2,7,0.99994,0.999276331,7.41E-05,0,0,0.999996392,1.96E-06
3,7,0.5,0.001408783,5.28E-05,0.30785302,0.000665892,0.979693684,0.000246689
3,7,0.68,0.029883436,0.000464141,0.183278621,0.000765242,0.986425807,0.000134301
3,7,0.8,0.150530954,0.000713851,0.075498099,0.000780744,0.991097079,8.04E-05
3,7,0.9,0.435235764,0.001613794,0.012958416,0.000159179,0.995167553,0.000108984
3,7,0.95,0.674636407,0.001261485,0.001568458,6.51E-05,0.997466851,4.64E-05
3,7,0.99,0.926676453,0.000975616,3.49E-06,2.56E-06,0.999490857,2.93E-05
3,7,0.997,0.977674666,0.000326274,5.51E-08,1.65E-07,0.999839449,1.25E-05
3,7,0.99994,0.999538735,5.65E-05,0,0,0.999996721,1.20E-06
1,8,0.5,2.82E-06,1.38E-06,0.797730449,0.00026444,0.97972532,0.000346103
1,8,0.68,4.59E-06,3.21E-06,0.754158372,0.00046347,0.986638077,0.000271251
1,8,0.8,5.44E-06,2.92E-06,0.682295438,0.000907409,0.991061747,0.000159897
1,8,0.9,0.000525077,8.67E-05,0.489145862,0.001612116,0.995258363,0.000123507
1,8,0.95,0.088196991,0.001711804,0.181342009,0.001736525,0.997525873,4.63E-05
1,8,0.99,0.749866204,0.002784457,0.004501881,0.000140021,0.999480437,1.51E-05
1,8,0.997,0.922773341,0.001459228,0.000385383,4.02E-05,0.999842079,1.56E-05
1,8,0.99994,0.998458526,0.000179615,3.95E-07,1.19E-06,0.999997035,1.89E-06
2,8,0.5,4.98E-06,1.53E-06,0.596891556,0.001959915,0.979605623,0.000134953
2,8,0.68,1.73E-05,6.66E-06,0.50870462,0.00058782,0.986547937,0.00020765
2,8,0.8,0.002419715,0.000105198,0.364642732,0.000977351,0.991113533,8.29E-05
2,8,0.9,0.13137907,0.00182937,0.111376992,0.001031746,0.995242534,6.34E-05
2,8,0.95,0.451775251,0.002010366,0.018758304,0.000201027,0.997489605,4.01E-05
